iter	Passed	Remaining
541	12454	10524
542	12466	10492
543	12478	10459
544	12490	10427
545	12501	10395
546	12511	10361
547	12522	10328
548	12532	10295
549	12543	10262
550	12553	10229
551	12563	10196
552	12573	10163
553	12583	10130
554	12594	10098
555	12603	10064
556	12613	10031
557	12623	9999
558	12633	9966
559	12644	9935
560	12655	9903
561	12666	9871
562	12676	9839
563	12685	9806
564	12710	9785
565	12722	9755
566	12733	9724
567	12742	9691
568	12755	9661
569	12765	9630
570	12774	9597
571	12785	9566
572	12796	9535
573	12808	9505
574	12818	9474
575	12828	9443
576	12839	9412
577	12850	9382
578	12861	9351
579	12871	9320
580	12882	9290
581	12893	9260
582	12903	9229
583	12912	9197
584	12923	9167
585	12937	9140
586	12949	9111
587	12960	9081
588	12970	9050
589	12981	9021
590	12993	8992
591	13005	8963
592	13017	8934
593	13028	8904
594	13039	8875
595	13049	8845
596	13060	8816
597	13071	8787
598	13081	8757
599	13092	8728
600	13104	8699
601	13115	8671
602	13124	8641
603	13135	8611
604	13146	8583
605	13163	8558
606	13173	8529
607	13185	8501
608	13196	8472
609	13206	8443
610	13217	8414
611	13229	8387
612	13238	8357
613	13249	8329
614	13261	8301
615	13272	8273
616	13300	8256
617	13346	8249
618	13367	8227
619	13399	8212
620	13421	8191
621	13432	8162
622	13443	8135
623	13456	8108
624	13467	8080
625	13478	8052
626	13487	8023
627	13498	7996
628	13509	7968
629	13520	7940
630	13531	7913
631	13546	7888
632	13566	7865
633	13579	7839
634	13589	7811
635	13601	7784
636	13612	7757
637	13623	7730
638	13633	7702
639	13644	7674
640	13654	7647
641	13665	7620
642	13675	7592
643	13686	7565
644	13696	7538
645	13706	7511
646	13717	7484
647	13729	7457
648	13739	7430
649	13749	7403
650	13759	7376
651	13770	7349
652	13781	7323
653	13793	7297
654	13803	7270
655	13815	7244
656	13826	7218
657	13836	7191
658	13847	7165
659	13857	7138
660	13867	7112
661	13876	7085
662	13886	7058
663	13895	7031
664	13905	7005
665	13916	6979
666	13925	6952
667	13940	6928
668	13951	6902
669	13963	6877
670	13974	6852
671	13986	6826
672	13996	6800
673	14007	6775
674	14017	6749
675	14027	6723
676	14038	6698
677	14050	6672
678	14060	6647
679	14072	6622
680	14083	6597
681	14093	6571
682	14103	6546
683	14112	6520
684	14123	6494
685	14132	6468
686	14144	6444
687	14159	6421
688	14172	6397
689	14183	6372
690	14192	6346
691	14201	6320
692	14211	6295
693	14220	6270
694	14232	6246
695	14243	6221
696	14256	6197
697	14266	6172
698	14279	6148
699	14291	6124
700	14303	6101
701	14313	6076
702	14324	6051
703	14335	6027
704	14347	6003
705	14367	5982
706	14377	5958
707	14388	5934
708	14399	5909
709	14411	5886
710	14423	5862
711	14433	5838
712	14445	5814
713	14456	5790
714	14466	5766
715	14477	5742
716	14488	5718
717	14499	5694
718	14511	5671
719	14524	5648
720	14534	5624
721	14545	5600
722	14557	5577
723	14568	5553
724	14590	5534
725	14602	5511
726	14615	5488
727	14627	5465
728	14638	5441
729	14648	5418
730	14659	5394
731	14671	5371
732	14682	5348
733	14693	5324
734	14703	5301
735	14714	5277
736	14724	5254
737	14735	5231
738	14746	5208
739	14757	5184
740	14767	5161
741	14777	5138
742	14788	5115
743	14798	5091
744	14808	5068
745	14818	5045
746	14830	5023
747	14841	5000
748	14852	4977
749	14862	4954
750	14873	4931
751	14883	4908
752	14894	4885
753	14905	4862
754	14916	4840
755	14926	4817
756	14938	4795
757	14949	4772
758	14961	4750
759	14971	4727
760	14982	4705
761	14993	4683
762	15005	4660
763	15017	4639
764	15028	4616
765	15040	4594
766	15051	4572
767	15061	4549
768	15072	4527
769	15082	4505
770	15094	4483
771	15106	4461
772	15122	4440
773	15133	4418
774	15145	4397
775	15156	4375
776	15168	4353
777	15178	4331
778	15191	4309
779	15201	4287
780	15213	4265
781	15224	4244
782	15234	4221
783	15245	4200
784	15256	4178
785	15267	4156
786	15279	4135
787	15290	4113
788	15301	4091
789	15313	4070
790	15323	4048
791	15334	4027
792	15343	4005
793	15354	3983
794	15366	3962
795	15375	3940
796	15387	3919
797	15398	3897
798	15409	3876
799	15421	3855
800	15432	3833
801	15444	3813
802	15454	3791
803	15465	3770
804	15476	3749
805	15488	3728
806	15499	3706
807	15509	3685
808	15520	3664
809	15532	3643
810	15542	3622
811	15556	3601
812	15575	3582
813	15586	3561
814	15597	3540
815	15608	3519
816	15619	3498
817	15630	3477
818	15639	3456
819	15651	3435
820	15661	3414
821	15672	3393
822	15682	3372
823	15693	3351
824	15703	3331
825	15714	3310
826	15723	3289
827	15733	3268
828	15744	3247
829	15754	3226
830	15764	3206
831	15775	3185
832	15784	3164
833	15795	3143
834	15805	3123
835	15815	3102
836	15826	3082
837	15837	3061
838	15847	3040
839	15858	3020
840	15870	3000
841	15886	2981
842	15898	2960
843	15909	2940
844	15921	2920
845	15932	2900
846	15942	2879
847	15952	2859
848	15964	2839
849	15977	2819
850	15988	2799
851	15997	2778
852	16008	2758
853	16018	2738
854	16027	2718
855	16039	2698
856	16049	2678
857	16060	2657
858	16071	2638
859	16081	2617
860	16090	2597
861	16101	2577
862	16112	2557
863	16128	2538
864	16139	2518
865	16150	2499
866	16159	2478
867	16169	2458
868	16180	2439
869	16190	2419
870	16201	2399
871	16212	2379
872	16222	2359
873	16232	2340
874	16242	2320
875	16252	2300
876	16262	2280
877	16274	2261
878	16286	2241
879	16297	2222
880	16308	2202
881	16319	2183
882	16331	2163
883	16342	2144
884	16353	2124
885	16364	2105
886	16374	2086
887	16386	2066
888	16398	2047
889	16409	2028
890	16420	2008
891	16431	1989
892	16441	1970
893	16451	1950
894	16462	1931
895	16472	1911
896	16483	1892
897	16495	1873
898	16507	1854
899	16518	1835
900	16530	1816
901	16543	1797
902	16554	1778
903	16565	1759
904	16576	1740
905	16601	1722
906	16613	1703
907	16625	1684
908	16635	1665
909	16646	1646
910	16658	1627
911	16668	1608
912	16679	1589
913	16690	1570
914	16701	1551
915	16712	1532
916	16721	1513
917	16731	1494
918	16742	1475
919	16753	1456
920	16762	1437
921	16773	1419
922	16786	1400
923	16798	1381
924	16809	1362
925	16820	1344
926	16830	1325
927	16841	1306
928	16852	1287
929	16862	1269
930	16877	1250
931	16887	1232
932	16897	1213
933	16908	1194
934	16919	1176
935	16929	1157
936	16938	1138
937	16948	1120
938	16959	1101
939	16970	1083
940	16979	1064
941	16990	1046
942	17001	1027
943	17012	1009
944	17023	990
945	17035	972
946	17046	954
947	17057	935
948	17068	917
949	17079	898
950	17090	880
951	17102	862
952	17112	843
953	17129	825
954	17141	807
955	17151	789
956	17161	771
957	17171	752
958	17183	734
959	17194	716
960	17205	698
961	17215	680
962	17225	661
963	17234	643
964	17245	625
965	17255	607
966	17265	589
967	17276	571
968	17287	553
969	17301	535
970	17312	517
971	17322	499
972	17332	480
973	17343	462
974	17353	444
975	17365	427
976	17378	409
977	17389	391
978	17401	373
979	17411	355
980	17422	337
981	17433	319
982	17444	301
983	17455	283
984	17464	265
985	17475	248
986	17487	230
987	17499	212
988	17512	194
989	17524	177
990	17536	159
991	17547	141
992	17559	123
993	17571	106
994	17583	88
995	17593	70
996	17604	52
997	17627	35
998	17640	17
999	17651	0
